Type,Name
Elementary,Adelphi Elementary
Elementary,Allenwood Elementary
Elementary,Andrew Jackson Academy
Elementary,Barnaby Manor Elementary School
Elementary,Beacon Heights Elementary School
Elementary,Berwyn Heights Elementary School
Elementary,Bladensburg Elementary School
Elementary,Bond Mill Elementary School
Elementary,Bradbury Heights Elementary School
Elementary,Brandywine Elementary School
Elementary,Calverton Elementary School
Elementary,Capitol Heights Elementary School
Elementary,Carmody Hills Elementary School
Elementary,Carole Highlands Elementary School
Elementary,Carrollton Elementary School
Elementary,Samuel Chase Elementary School
Elementary,Cesar Chavez Elementary School
Elementary,Cherokee Lane Elementary School
Elementary,Chillum Elementary School
Elementary,Thomas Claggett Elementary School
Middle,Buck Lodge Middle School
Middle,Charles Carroll Middle School
Middle,CMTI North Middle School
Middle,Stephen Decatur Middle School and Community Center
Middle,Drew-Freeman Middle School
Middle,Dwight D. Eisenhower Middle School
Middle,Benjamin D. Foulois Creative and Performing Arts Academy
High,Bladensburg High School
High,Central High School
High,Crossland High School
High,Fairmont Heights High School
High,Charles Herbert Flowers High School
High,Largo High School
